小学校名,所在地,電話番号,ファクシミリ
赤堤,赤堤1-41-24,3323-0291,3323-9751
旭,野沢1-4-3,3424-1337,3424-1251
池尻,池尻2-4-10,3424-2410,3424-2152
池之上,北沢4-32-20,3416-8073,6416-8414
奥沢,奥沢3-1-1,3727-3535,3727-1398
尾山台,尾山台3-11-1,3701-2183,3701-2355
上北沢,上北沢4-22-29,3302-0485,3302-7351
烏山,給田1-2-1,3300-6158,3300-6199
烏山北,北烏山6-3-1,3300-5764,3300-5785
喜多見,喜多見3-11-1,3416-8232,3416-8284
砧,喜多見6-9-1,3417-4477,3417-4484
砧南,鎌田4-3-1,3417-2378,3417-4943
希望丘,船橋4-9-1,3484-1972,3484-1878
給田,給田4-24-1,3308-5671,3308-5797
京西,用賀4-27-4,3700-1128,3700-1399
経堂,桜上水1-23-3,3420-3278,3420-2903
九品仏,奥沢8-12-1,3703-0458,3703-0630
駒沢,駒沢2-10-6,3424-0855,3424-1701
駒繋,下馬1-42-12,3424-0820,3424-2622
桜,世田谷2-4-15,3420-5381,3420-5626
桜丘,桜丘1-19-17,3429-1375,3429-1339
桜町,用賀1-5-1,3703-0161,3703-0166
笹原,桜丘5-19-1,3428-8383,3428-8535
三軒茶屋,三軒茶屋2-42-1,3421-2195,3421-2751
下北沢,大原1-4-6,3468-0291,3468-6974
城山,梅丘2-1-11,3429-2047,3429-2049
瀬田,瀬田2-15-1,3700-3345,3700-3352
世田谷,宮坂1-38-4,3420-7241,3420-8137
祖師谷,祖師谷3-49-1,3482-2467,3482-2432
代沢,代沢5-1-10,3413-4551,3413-5665
太子堂,太子堂5-7-4,3413-4621,3413-4799
代田,代田4-2-3,3323-3761,3323-9343
玉川,中町2-29-1,3703-1601,3703-1688
玉堤,玉堤2-11-1,3701-1536,3702-7951
多聞,三宿2-26-11,3413-2026,3413-4094
千歳,成城9-6-1,3482-3153,3482-3466
千歳台,千歳台4-24-1,3482-0335,3482-0757
塚戸,千歳台6-7-1,3300-5166,3300-5174
弦巻,弦巻1-9-18,3428-0187,3428-0965
等々力,等々力7-26-1,3702-2185,3702-2188
中里,三軒茶屋1-4-1,3422-7474,3422-7577
中町,中町4-23-1,3703-0651,3703-0691
中丸,野沢3-34-16,3424-4422,3424-4990
八幡山,八幡山1-14-1,3302-2618,3302-4064
東玉川,奥沢1-1-1,3720-4211,3720-4621
東深沢,深沢3-7-1,3703-1606,3703-1780
深沢,新町1-4-24,3428-1366,3428-8765
二子玉川,玉川4-6-1,3700-5531,3700-6588
船橋,船橋4-41-1,3482-2367,3482-2317
松丘,弦巻3-23-12,3429-4278,3429-5627
松沢,赤堤4-44-22,3323-0441,3323-9293
松原,松原5-43-26,3322-0191,3322-4351
三宿,三宿1-12-6,3411-8456,3411-7560
武蔵丘,北烏山1-47-11,3308-6722,3308-6773
明正,成城3-3-1,3415-5591,3415-5940
八幡,玉川田園調布2-17-15,3721-8991,3721-8990
山崎,梅丘3-9-1,3420-7341,3420-8278
山野,砧6-7-1,3417-3322,3417-3348
用賀,上用賀6-14-1,3428-8391,3428-8856
芦花,粕谷2-22-1,3303-3301,3303-6431
若林,若林5-27-18,3413-0654,3413-0770
